sep=,
ORDRE NR,TYPE,NAVN,PRIS,ANTALL
9,Spoiler,SPoiler,303.0,320
9,Seat,SEJSK,30302.0,17273
9,Spoiler,SPoiler,303.0,320
10,Seat,dklsdal,313.0,30
10,Seat,dksdl,39042.0,301
11,Spoiler,SPoiler,303.0,320
11,Seat,dklsdal,313.0,30
11,Seat,dklsdal,313.0,30
11,Spoiler,SPoiler,303.0,320
12,Spoiler,SPoiler,303.0,320
13,Seat,Seat COMP,3930.0,2
14,Seat,JSdosd,3903.0,2
16,Seat,SEAT COMP,39020.0,2
17,Seat,SEAT COMP,39020.0,2
18,Seat,SEAT COMP,39020.0,2
19,Seat,JSSDJI,3920.0,2
20,Seat,kKSpodo,23030.0,2
22,Seat,NDNSI,3942.0,2
24,Seat,SETACOM,393042.0,2
26,Seat,SETACOM,393042.0,2
27,Seat,ISdos,32024.0,2
28,Seat,SETACOM,393042.0,1
